timestamp,symbol,timeframe,signal,price
2025-07-04 01:07:35,COALINDIA.NS,1d,bearish,386.45
2025-07-04 01:12:53,ASIANPAINT.NS,1d,bullish,2430.9
2025-07-04 14:23:10,MARUTI.NS,15m,bearish,12649.0
2025-07-04 14:23:50,ASIANPAINT.NS,1d,bullish,2419.2
2025-07-04 14:29:04,MARUTI.NS,15m,bearish,12644.0
2025-07-04 14:30:13,ASIANPAINT.NS,1d,bullish,2423.5
2025-07-04 14:33:10,ICICIBANK.NS,15m,bullish,1437.4
2025-07-04 14:36:10,ASIANPAINT.NS,1d,bullish,2423.5
2025-07-04 14:51:07,ULTRACEMCO.NS,15m,bullish,12501.0
2025-07-04 15:02:10,BRITANNIA.NS,30m,bearish,5770.0
2025-07-04 15:18:54,HCLTECH.NS,30m,bullish,1725.3
2025-07-04 15:21:33,NTPC.NS,15m,bullish,335.85
